1565215,5169785
1565215,5169790
1565215,5169795
1565220,5169825
1565225,5169830
1565285,5169855
1565305,5169860
1565315,5169870
1565330,5169880
1565360,5169900
1565370,5169900
1565370,5169895
1565365,5169890
1565380,5169890
1565395,5169880
1565365,5169925
1565360,5169935
1565360,5169940
1565365,5169940
1565360,5169950
1565360,5169985
1565365,5170005
1565365,5170010
1565365,5170015
1565365,5170020
1565375,5170055
1565370,5170100
1565485,5170230
1565495,5170235
1565555,5170270
1565585,5170280
1565665,5170325
1565670,5170330
1565710,5170350
1565715,5170355
1565750,5170380
1565765,5170395
1565765,5170400
1565795,5170425
1565805,5170430
1565825,5170445
1565830,5170450
1565830,5170455
1565830,5170460
1565825,5170465
1565820,5170465
1565820,5170470
1565820,5170485
1565825,5170485
1565825,5170495
1565825,5170500
1565830,5170505
1565830,5170510
1565830,5170515
1565845,5170525
1565890,5170550
1565895,5170550
1565900,5170555
1565910,5170560
1565950,5170570
1565960,5170570
1566025,5170575
1566050,5170585
1566060,5170590
1566140,5170635
1566145,5170645
1566195,5170660
1566215,5170665
1566225,5170670
1566240,5170680
1566245,5170685
1566250,5170690
1566260,5170705
1566290,5170715
1566320,5170715
1566360,5170695
1566365,5170695
1566410,5170710
1566430,5170715
1566440,5170715
1566490,5170710
1566495,5170710
1566500,5170710
1566505,5170705
1566565,5170695
1566580,5170690
1566595,5170685
1566595,5170680
1566600,5170680
1566615,5170670
1566625,5170670
1566630,5170675
1566635,5170670
1566640,5170675
1566635,5170685
1566630,5170695
1566630,5170665
1566640,5170655
1566650,5170650
1566655,5170655
1566655,5170665
1566650,5170665
1566660,5170665
1566665,5170660
1566670,5170665
1566670,5170655
1566675,5170655
1566675,5170650
1566670,5170650
1566665,5170650
1566660,5170645
1566670,5170645
1566675,5170645
1566680,5170645
1566685,5170650
1566685,5170655
1566680,5170660
1566695,5170645
1566700,5170645
1566700,5170650
1566695,5170640
1566690,5170640
1566685,5170635
1566675,5170630
1566690,5170625
1566695,5170625
1566700,5170625
1566710,5170635
1566720,5170640
1566725,5170645
1566720,5170655
1566720,5170660
1566730,5170665
1566735,5170665
1566740,5170665
1566740,5170660
1566735,5170660
1566730,5170655
1566740,5170625
1566745,5170625
1566730,5170695
1566725,5170710
1566715,5170720
1566715,5170740
1566715,5170750
1566715,5170775
1566720,5170775
1566720,5170790
1566715,5170795
1566715,5170810
1566710,5170810
1566685,5170840
1566575,5170925
1566555,5170935
1566550,5170935
1566510,5170970
1566520,5171015
1566520,5171025
1566520,5171030
1566520,5171035
1566510,5171035
1566505,5171035
1566500,5171035
1566500,5171040
1566500,5171045
1566495,5171045
1566490,5171045
1566490,5171050
1566485,5171050
1566485,5171060
1566480,5171060
1566475,5171060
1566470,5171055
1566465,5171055
1566465,5171060
1566460,5171050
1566455,5171050
1566450,5171050
1566445,5171050
1566440,5171070
1566435,5171080
1566435,5171085
1566435,5171090
1566420,5171085
1566420,5171080
1566420,5171075
1566430,5171075
1566405,5171090
1566400,5171090
1566370,5171085
1566365,5171085
1566350,5171085
1566335,5171090
1566325,5171090
1566320,5171090
1566315,5171090
1566305,5171090
1566280,5171095
1566275,5171100
1566270,5171100
1566205,5171100
1566195,5171080
1566190,5171075
1566185,5171065
1566130,5170995
1566100,5170985
1566030,5171045
1566020,5171060
1565990,5171105
1565990,5171125
1566110,5171190
1566120,5171200
1566130,5171210
1566135,5171215
1566120,5171290
1566100,5171340
1566095,5171415
1566050,5171480
1566075,5171500
1566015,5171490
1566005,5171495
1566000,5171490
1565995,5171490
1565990,5171490
1565985,5171490
1565980,5171485
1565975,5171485
1565975,5171480
1565980,5171480
1565970,5171490
1565965,5171490
1565965,5171485
1565960,5171485
1565955,5171485
1565950,5171490
1565945,5171500
1565940,5171500
1565940,5171495
1565925,5171500
1565920,5171515
1565920,5171520
1565915,5171520
1565905,5171535
1565905,5171545
1565895,5171570
1565890,5171570
1565890,5171575
1565890,5171585
1565890,5171590
1565895,5171585
1565900,5171595
1565900,5171600
1565900,5171605
1565895,5171600
1565900,5171625
1565900,5171630
1565900,5171635
1565900,5171640
1565900,5171645
1565910,5171645
1565910,5171650
1565910,5171655
1565905,5171660
1565895,5171660
1565890,5171660
1565890,5171665
1565885,5171665
1565880,5171665
1565875,5171665
1565875,5171670
1565870,5171665
1565865,5171665
1565860,5171655
1565865,5171650
1565865,5171645
1565865,5171640
1565860,5171640
1565855,5171645
1565850,5171645
1565845,5171645
1565850,5171640
1565835,5171650
1565805,5171620
1565795,5171610
